Conjugation,Verb,Tense,Person,Lesson#,Lesson ID,Shared
ondorioztatzen du,ondorioztatu,present,hura,40,unit-10-present,NO
gaitzesten dut,gaitzetsi,present,ni,40,unit-10-present,NO
gaitzesten duzu,gaitzetsi,present,zu,40,unit-10-present,NO
gaitzesten du,gaitzetsi,present,hura,40,unit-10-present,NO
aldarrikatzen dut,aldarrikatu,present,ni,40,unit-10-present,NO
aldarrikatzen duzu,aldarrikatu,present,zu,40,unit-10-present,NO
aldarrikatzen du,aldarrikatu,present,hura,40,unit-10-present,NO
plazaratzen dut,plazaratu,present,ni,40,unit-10-present,NO
plazaratzen duzu,plazaratu,present,zu,40,unit-10-present,NO
plazaratzen du,plazaratu,present,hura,40,unit-10-present,NO
sustatzen dut,sustatu,present,ni,40,unit-10-present,NO
sustatzen duzu,sustatu,present,zu,40,unit-10-present,NO
sustatzen du,sustatu,present,hura,40,unit-10-present,NO
bultzatzen dut,bultzatu,present,ni,40,unit-10-present,NO
bultzatzen duzu,bultzatu,present,zu,40,unit-10-present,NO
bultzatzen du,bultzatu,present,hura,40,unit-10-present,NO
bermatzen dut,bermatu,present,ni,40,unit-10-present,NO
bermatzen duzu,bermatu,present,zu,40,unit-10-present,NO
bermatzen du,bermatu,present,hura,40,unit-10-present,NO
babesten dut,babestu,present,ni,40,unit-10-present,NO
babesten duzu,babestu,present,zu,40,unit-10-present,NO
babesten du,babestu,present,hura,40,unit-10-present,NO
ziurtatzen dut,ziurtatu,present,ni,40,unit-10-present,NO
ziurtatzen duzu,ziurtatu,present,zu,40,unit-10-present,NO
ziurtatzen du,ziurtatu,present,hura,40,unit-10-present,NO
borobiltzen dut,borobildu,present,ni,40,unit-10-present,NO
borobiltzen duzu,borobildu,present,zu,40,unit-10-present,NO
borobiltzen du,borobildu,present,hura,40,unit-10-present,NO
hitz egiten dut,hitz-egin,present,ni,40,unit-10-present,NO
hitz egiten duzu,hitz-egin,present,zu,40,unit-10-present,NO
hitz egiten du,hitz-egin,present,hura,40,unit-10-present,NO
lan egiten dut,lan-egin,present,ni,40,unit-10-present,NO
lan egiten duzu,lan-egin,present,zu,40,unit-10-present,NO
lan egiten du,lan-egin,present,hura,40,unit-10-present,NO
lo egiten dut,lo-egin,present,ni,40,unit-10-present,NO
lo egiten duzu,lo-egin,present,zu,40,unit-10-present,NO
lo egiten du,lo-egin,present,hura,40,unit-10-present,NO
ahaleginak egiten dut,ahaleginak-egin,present,ni,40,unit-10-present,NO
ahaleginak egiten duzu,ahaleginak-egin,present,zu,40,unit-10-present,NO
ahaleginak egiten du,ahaleginak-egin,present,hura,40,unit-10-present,NO
parte hartzen dut,parte-hartu,present,ni,40,unit-10-present,NO
parte hartzen duzu,parte-hartu,present,zu,40,unit-10-present,NO
parte hartzen du,parte-hartu,present,hura,40,unit-10-present,NO
kontuan hartzen dut,kontuan-hartu,present,ni,40,unit-10-present,NO
kontuan hartzen duzu,kontuan-hartu,present,zu,40,unit-10-present,NO
kontuan hartzen du,kontuan-hartu,present,hura,40,unit-10-present,NO
arreta ematen dut,arreta-eman,present,ni,40,unit-10-present,NO
arreta ematen duzu,arreta-eman,present,zu,40,unit-10-present,NO
arreta ematen du,arreta-eman,present,hura,40,unit-10-present,NO
jaten dugu,jan,present,gu,41,unit-10-present-plural,NO
jaten duzue,jan,present,zuek,41,unit-10-present-plural,NO
jaten dute,jan,present,haiek,41,unit-10-present-plural,NO
edaten dugu,edan,present,gu,41,unit-10-present-plural,NO
edaten duzue,edan,present,zuek,41,unit-10-present-plural,NO
edaten dute,edan,present,haiek,41,unit-10-present-plural,NO
erosten dugu,erosi,present,gu,41,unit-10-present-plural,NO
erosten duzue,erosi,present,zuek,41,unit-10-present-plural,NO
erosten dute,erosi,present,haiek,41,unit-10-present-plural,NO
hartzen dugu,hartu,present,gu,41,unit-10-present-plural,NO
hartzen duzue,hartu,present,zuek,41,unit-10-present-plural,NO
hartzen dute,hartu,present,haiek,41,unit-10-present-plural,NO
egiten dugu,egin,present,gu,41,unit-10-present-plural,NO
egiten duzue,egin,present,zuek,41,unit-10-present-plural,NO
egiten dute,egin,present,haiek,41,unit-10-present-plural,NO
irakurtzen dugu,irakurri,present,gu,41,unit-10-present-plural,NO
irakurtzen duzue,irakurri,present,zuek,41,unit-10-present-plural,NO
irakurtzen dute,irakurri,present,haiek,41,unit-10-present-plural,NO
idazten dugu,idatzi,present,gu,41,unit-10-present-plural,NO
idazten duzue,idatzi,present,zuek,41,unit-10-present-plural,NO
idazten dute,idatzi,present,haiek,41,unit-10-present-plural,NO
ikasten dugu,ikasi,present,gu,41,unit-10-present-plural,NO
ikasten duzue,ikasi,present,zuek,41,unit-10-present-plural,NO
ikasten dute,ikasi,present,haiek,41,unit-10-present-plural,NO
entzuten dugu,entzun,present,gu,41,unit-10-present-plural,NO
entzuten duzue,entzun,present,zuek,41,unit-10-present-plural,NO
entzuten dute,entzun,present,haiek,41,unit-10-present-plural,NO
uzten dugu,utzi,present,gu,41,unit-10-present-plural,NO
uzten duzue,utzi,present,zuek,41,unit-10-present-plural,NO
uzten dute,utzi,present,haiek,41,unit-10-present-plural,NO
aurkitzen dugu,aurkitu,present,gu,41,unit-10-present-plural,NO
aurkitzen duzue,aurkitu,present,zuek,41,unit-10-present-plural,NO
aurkitzen dute,aurkitu,present,haiek,41,unit-10-present-plural,NO
bilatzen dugu,bilatu,present,gu,41,unit-10-present-plural,NO
bilatzen duzue,bilatu,present,zuek,41,unit-10-present-plural,NO
bilatzen dute,bilatu,present,haiek,41,unit-10-present-plural,NO
galtzen dugu,galdu,present,gu,41,unit-10-present-plural,NO
galtzen duzue,galdu,present,zuek,41,unit-10-present-plural,NO
galtzen dute,galdu,present,haiek,41,unit-10-present-plural,NO
jasotzen dugu,jaso,present,gu,41,unit-10-present-plural,NO
jasotzen duzue,jaso,present,zuek,41,unit-10-present-plural,NO
jasotzen dute,jaso,present,haiek,41,unit-10-present-plural,NO
saltzen dugu,saldu,present,gu,41,unit-10-present-plural,NO
saltzen duzue,saldu,present,zuek,41,unit-10-present-plural,NO
saltzen dute,saldu,present,haiek,41,unit-10-present-plural,NO
itxaroten dugu,itxaron,present,gu,41,unit-10-present-plural,NO
itxaroten duzue,itxaron,present,zuek,41,unit-10-present-plural,NO
itxaroten dute,itxaron,present,haiek,41,unit-10-present-plural,NO
eskatzen dugu,eskatu,present,gu,41,unit-10-present-plural,NO
eskatzen duzue,eskatu,present,zuek,41,unit-10-present-plural,NO
eskatzen dute,eskatu,present,haiek,41,unit-10-present-plural,NO
galdetzen dugu,galdetu,present,gu,41,unit-10-present-plural,NO
galdetzen duzue,galdetu,present,zuek,41,unit-10-present-plural,NO
galdetzen dute,galdetu,present,haiek,41,unit-10-present-plural,NO
adierazten dugu,adierazi,present,gu,41,unit-10-present-plural,NO
adierazten duzue,adierazi,present,zuek,41,unit-10-present-plural,NO
adierazten dute,adierazi,present,haiek,41,unit-10-present-plural,NO
bukatzen dugu,bukatu,present,gu,41,unit-10-present-plural,NO
bukatzen duzue,bukatu,present,zuek,41,unit-10-present-plural,NO
bukatzen dute,bukatu,present,haiek,41,unit-10-present-plural,NO
amaitzen dugu,amaitu,present,gu,41,unit-10-present-plural,NO
amaitzen duzue,amaitu,present,zuek,41,unit-10-present-plural,NO
amaitzen dute,amaitu,present,haiek,41,unit-10-present-plural,NO
gainditzen dugu,gainditu,present,gu,41,unit-10-present-plural,NO
gainditzen duzue,gainditu,present,zuek,41,unit-10-present-plural,NO
gainditzen dute,gainditu,present,haiek,41,unit-10-present-plural,NO
bereizten dugu,bereiztu,present,gu,41,unit-10-present-plural,NO
bereizten duzue,bereiztu,present,zuek,41,unit-10-present-plural,NO
bereizten dute,bereiztu,present,haiek,41,unit-10-present-plural,NO
ezagutzen dugu,ezagutu,present,gu,41,unit-10-present-plural,NO
ezagutzen duzue,ezagutu,present,zuek,41,unit-10-present-plural,NO
ezagutzen dute,ezagutu,present,haiek,41,unit-10-present-plural,NO
sentitzen dugu,sentitu,present,gu,41,unit-10-present-plural,NO
sentitzen duzue,sentitu,present,zuek,41,unit-10-present-plural,NO
sentitzen dute,sentitu,present,haiek,41,unit-10-present-plural,NO
pentsatzen dugu,pentsatu,present,gu,41,unit-10-present-plural,NO
pentsatzen duzue,pentsatu,present,zuek,41,unit-10-present-plural,NO
pentsatzen dute,pentsatu,present,haiek,41,unit-10-present-plural,NO
sumatzen dugu,sumatu,present,gu,41,unit-10-present-plural,NO
sumatzen duzue,sumatu,present,zuek,41,unit-10-present-plural,NO
sumatzen dute,sumatu,present,haiek,41,unit-10-present-plural,NO
ulertzen dugu,ulertu,present,gu,41,unit-10-present-plural,NO
ulertzen duzue,ulertu,present,zuek,41,unit-10-present-plural,NO
ulertzen dute,ulertu,present,haiek,41,unit-10-present-plural,NO
aztertzen dugu,aztertu,present,gu,41,unit-10-present-plural,NO
aztertzen duzue,aztertu,present,zuek,41,unit-10-present-plural,NO
aztertzen dute,aztertu,present,haiek,41,unit-10-present-plural,NO
ukatzen dugu,ukatu,present,gu,41,unit-10-present-plural,NO
ukatzen duzue,ukatu,present,zuek,41,unit-10-present-plural,NO
ukatzen dute,ukatu,present,haiek,41,unit-10-present-plural,NO
batzen dugu,batu,present,gu,41,unit-10-present-plural,NO
batzen duzue,batu,present,zuek,41,unit-10-present-plural,NO
batzen dute,batu,present,haiek,41,unit-10-present-plural,NO
planteatzen dugu,planteatu,present,gu,41,unit-10-present-plural,NO
planteatzen duzue,planteatu,present,zuek,41,unit-10-present-plural,NO
planteatzen dute,planteatu,present,haiek,41,unit-10-present-plural,NO
hausnartzen dugu,hausnartu,present,gu,41,unit-10-present-plural,NO
hausnartzen duzue,hausnartu,present,zuek,41,unit-10-present-plural,NO
hausnartzen dute,hausnartu,present,haiek,41,unit-10-present-plural,NO
argudiatzen dugu,argudiatu,present,gu,41,unit-10-present-plural,NO
argudiatzen duzue,argudiatu,present,zuek,41,unit-10-present-plural,NO
argudiatzen dute,argudiatu,present,haiek,41,unit-10-present-plural,NO
ondorioztatzen dugu,ondorioztatu,present,gu,41,unit-10-present-plural,NO
ondorioztatzen duzue,ondorioztatu,present,zuek,41,unit-10-present-plural,NO
ondorioztatzen dute,ondorioztatu,present,haiek,41,unit-10-present-plural,NO
gaitzesten dugu,gaitzetsi,present,gu,41,unit-10-present-plural,NO
gaitzesten duzue,gaitzetsi,present,zuek,41,unit-10-present-plural,NO
